0	1	2
gobjeh	tacichdg	1
drcgbjcd	tachefjj	1
drcgbfge	tachefjj	1
drcgbfge	tachefji	1
godad	tacihhgh	1
drceidfe	tachidji	1
drbcjhhd	tachefjj	1
godfgi	tacihhgh	1
drbcebeh	tacigbag	1
drcfccib	tacheich	1
drcfgjjf	tacieahi	1
drceggaj	tacheich	1
dibfaaa	taciibcd	1
drbddeij	tacheich	1
drhbjja	taciecji	1
drceiehi	tachjghb	1
drbcehdh	tachfged	1
drbbcihg	tachfged	1
drcfgaba	tacihjcf	1
drbdddgb	taciiage	1
drjcbhj	tachijhj	1
godfgi	tachggeh	1
godfgi	tacjadbf	1
godfgi	taciaife	1
godfgi	tacigaag	1
godfgi	tacigacj	1
godfgi	tachgggf	1
godfgi	taciifbb	1
godfgi	tacijjjg	1
godfgi	tachehdb	1
godfgi	tachfhgj	1
godfgi	taciifbc	1
godfgi	tachieif	1
drcgcida	tacifaai	1
drcgcida	tachffai	1
drcgcida	tacjadbf	1
drbcjhhi	tacjbfih	1
drbcjhhi	taciaibi	1
drbcjhhi	tachejcf	1
drbcjhhi	tachggeh	1
drbcjhhi	taciecie	1
gofbib	tacigjia	1
drcffedb	tacifhbb	1
drcffedb	tachfcdc	1
drcffedb	tacifhbd	1
drcfecgf	taciggde	1
drfabhg	tacigacj	1
drcffcfc	tachfcdc	1
drcfefif	tachjggi	1
drcfefif	tacjcdea	1
drcfefif	tacjcdeb	1
drcfeiic	taciifbc	1
drcfeiic	taciiegg	1
drcfeiic	tacihdig	1
drcfeiic	tacihabd	1
drcfeiic	tacihabf	1
drcfeiic	taciifbb	1
drcfeiic	tacibfaa	1
drcfeiic	tachjihe	1
drcfeiic	tachegeg	1
drcfeiic	tacibijf	1
drcfeiic	tachehhd	1
drcehifg	tachjhag	1
drcfefgi	tacijjjg	1
drcfefgi	tachehdb	1
drcffaed	taciecie	1
drcffaed	tacieeha	1
drcfcedj	tacheich	1
drcfjhbi	tachfjbj	1
drcfjhbi	tacijaab	1
drcfjhbi	taciifbb	1
drbdddca	tachfgih	1
drcfjhee	tacjahcj	1
drbcjdfa	tacibahi	1
drbcjdfa	tacibaha	1
drbcjdfa	taciabfe	1
drbcjdfa	tacibahb	1
drbcjdfa	tacibahc	1
drbcjdfa	tacibahd	1
drbcjdfa	tacibahj	1
drbcjdfa	tacibaia	1
drbcjdfa	tacibbac	1
drbcjdfa	tachfhgj	1
drbcjdfa	taciaheh	1
drbcjdfa	tacibaie	1
drbcjdfa	taciafig	1
drhdjae	tacibbhh	1
drhdjae	tacibbhc	1
drcfegia	tacheich	1
drhdjae	tacjeaja	1
drcgcdge	tacibddj	1
drhdjae	tacjdajh	1
drhdjae	tacibbgf	1
drcffegj	tachiggh	1
drcfedja	tachhdgc	1
drcfedja	tachhdge	1
drcfedja	tachhdgg	1
drcgcdig	tachfhgj	1
drcfedje	taciefea	1
drcfedje	tacibbec	1
drcehicf	tachjhag	1
drcgcdig	tacidghi	1
drbdajec	taciaici	1
drccccgg	tachjhag	1
drccccgg	tacihjac	1
drccccgg	tacihjab	1
drebgjb	taciiihj	1
drebgjb	taciiiie	1
drebgjb	taciiiif	1
drebgjb	taciiiid	1
drebgjb	taciiiia	1
drebgjb	tacheidf	1
drebgjb	tacheide	1
driddgc	tacjaaae	1
driddgc	tachiggf	1
driddgc	tacjeaah	1
dibdifh	tacheich	1
goccab	tachfhgj	1
gocbgc	taciafab	1
gobace	tachjghb	1
gobace	tachjgic	1
gobace	tachjghj	1
gobace	taciibed	1
drcciicd	tacheich	1
driaeei	tacihjde	1
driaeei	tacihjci	1
driaeei	tacihjdc	1
driaeei	tacihjcj	1
drcfcjhf	tacihcaf	1
drcfcjhf	taciigjf	1
drcgcaea	tacihfid	1
drcfeddc	tachegdf	1
drcfeddc	tachgfie	1
gobahc	tachgeca	1
drcfegia	tacjacji	1
dibfaec	tacibbad	1
gohjed	taciebhf	1
drcfdgig	tacjabeg	1
drbcbghh	tacihabd	1
gobhcc	tacihaaj	1
goijgh	tacijheh	1
goijgh	taciihid	1
goijgh	tacijheg	1
gobdib	tachffdb	1
drbdahjg	tachegdh	1
drbdahjg	tachegdf	1
drbdahjg	tachegdg	1
drbchhjf	tacibaha	1
drbchhjf	tacicjgj	1
drbchhjf	tachfffe	1
gobahc	tachffdb	1
gobahc	tachgeci	1
gobahc	tachgecg	1
drbdahjg	tachegde	1
drbcffhj	tachigie	1
drbbddag	tacihfid	1
drcfhccj	tachhjaj	1
drffgac	tachjfib	1
drceibhb	tacijjcd	1
drceibhb	tachgecg	1
drceibhb	tachgeci	1
drceibhb	tacibahi	1
goehid	tacihabd	1
goehid	tacihabi	1
drbdacdc	tachjcec	1
drcgjhbi	tachjfib	1
drcfcdjb	tacidhif	1
drcfcdjb	tacidhie	1
drbdbfha	tachjfib	1
drcfdgba	tacihgaa	1
drcgcade	tacijheh	1
drcfeidi	tachgefb	1
gogfia	tacjacji	1
drbcjddg	tachgeca	1
gocaff	tacjeadd	1
drcghica	tacihfid	1
gofeaj	tacibdih	1
drcfgcbe	taciiabe	1
drcfgcbe	taciaaid	1
dibdiej	tachjiei	1
drbcecdc	tacicgjj	1
drbdbdfd	tacibddj	1
drfeheh	tacifhbd	1
drcffhac	tacheich	1
drcfdajg	tachghdh	1
drcfdajg	tacihjab	1
gogba	tachgeca	1
gobieb	tacijjdi	1
drbcggch	tachffdb	1
drbcebid	tachegdf	1
drjjigf	tachfaeg	1
drcffceg	tacjebbf	1
dibedie	tachgeca	1
dibedie	tachgecg	1
dibedie	tachgeci	1
drccbifj	tacibgga	1
dibeeef	tachgihh	1
dibeeef	tachggba	1
gohij	tachegdf	1
drcfedcd	tacjeaaj	1
drcfedcd	tacjcdja	1
drcfedcd	tacheich	1
drcfedcd	tacjcdjh	1
drcfehaj	tacheich	1
drcfgafb	tacijheh	1
drcfgafb	taciihid	1
drcfgafb	taciihic	1
drcfgafb	tacijheg	1
drcfgafb	tacheich	1
drcejade	tacheich	1
gohci	tacheich	1
drbbbhed	tachegdh	1
goifcd	tacieacb	1
drbcggeb	tacheich	1
drcgaacj	tachffdb	1
drcfdhdf	tacihgaa	1
gogef	tacihheh	1
drhfcgd	tachegdc	1
drcgaaih	taciehed	1
drbcefbd	tacheich	1
cobbfgj	tacijjcd	1
cobbfgj	tachigie	1
drbaggad	tachgeca	1
drbaggad	tachgecg	1
drbaggad	tachgeci	1
gogjg	tacheich	1
drhfiie	tacjeadd	1
drhfiie	tacicjea	1
drcejgga	tacheich	1
dreicfc	tachhicc	1
drbcggeb	tacjeaaj	1
drbiggee	tacihfid	1
drcffbgb	tacihfid	1
drjcjeb	tacjahef	1
drdiihd	tachjfib	1
drcfccib	tacibiag	1
drcfccib	tacieggc	1
drcfccib	tacheiaa	1
drcfccib	tacihaaj	1
drbceccc	tacibddj	1
drbceccc	tacjcgff	1
drbceccc	tacibbfe	1
drbceejd	tacichbf	1
drbacbbg	tacibddj	1
drcfeebi	tachfcaa	1
drbdddjd	tachebjd	1
drbcjigf	tachegdf	1
drcfchea	tacicaga	1
drcfchea	tacibjif	1
drcfchea	tacieghb	1
drcfchea	tachfjcg	1
drcfchea	tachghdb	1
drcfchea	tacieghe	1
drcfchea	tacjeffb	1
drcfchea	tachgfjh	1
drcfchea	taciigjf	1
drcfchea	tacihiji	1
gobjjh	tachfaeg	1
gogfia	tachjjhc	1
drbchgij	tacihabd	1
drbchgij	tacihabf	1
drbbbfcc	tachgefb	1
drhbfjd	tacieggc	1
drcfdgbh	tachegdf	1
gojfeg	tacibbac	1
gobjhc	tacighca	1
drbceddc	tacjebbe	1
drbceddc	tachjeja	1
gobjeh	taciafai	1
drcgcafa	tachegdf	1
drcgcafa	tachegdg	1
drcfcdjc	tacjcgff	1
drcfdiih	tacidhag	1
drbcgiea	taciejce	1
drbcjfhi	tacheich	1
drbddchj	taciibcd	1
drbcdige	tacjaffj	1
drbcdige	tacjafga	1
drbcdige	taciieag	1
drcefjea	tacibibg	1
drcdadcc	tachffdb	1
drcfebaa	tacjacji	1
drcfebaa	tacifhbb	1
drbcjdgd	tacheich	1
dibeeia	tachegdf	1
drbdafad	tachfffe	1
drbdafad	tacicjgj	1
drbdafad	tacibaha	1
drbdafad	tachgeji	1
drcfdgca	taciihid	1
drcfdgca	tacijheh	1
drcfdgca	tacheide	1
drcfdgca	tacheidf	1
drbdaadb	tachihgg	1
cobceab	tacjaaed	1
drcehiib	tacijhff	1
drbdbfci	tacifiai	1
gojjb	tacheeac	1
drcfdgca	tacifhjc	1
drbdabgb	tachffdb	1
drbdabgb	tachgeci	1
drbdabgb	tachgecg	1
drbdabgb	tachgeca	1
drcfejdj	tacicifa	1
drcfejdj	tacjaaed	1
drcfejdj	tacicigj	1
gobfid	taciachh	1
drbdacda	tachfagg	1
drbdacda	taciebhf	1
drbdbdei	tacheich	1
drhbfjd	tacieghb	1
gobhjc	tacijheh	1
drbcjeee	tachegdg	1
drbcjeee	tachegdh	1
drbcjeee	tachegdf	1
drbdaehd	tacicgjj	1
gobfga	tacheich	1
drjjdfj	tachfbia	1
drjjdfj	tachgecc	1
drjjdfj	tachgece	1
godge	tacihabd	1
drbdbaee	tachgeji	1
drcfcead	taciadgh	1
drcdafih	tacheich	1
drifcig	tacihfid	1
drbcebgj	tacheich	1
drbcebgj	tachejag	1
drceeaie	tachgeji	1
gocgcj	tachegdf	1
drbaefif	tacjacji	1
drbaefif	tachjfib	1
drbaefif	tachfcaa	1
drbaefif	taciibci	1
gobjij	tachgfjb	1
drbcgihj	tacjeaaj	1
drbcgihj	tacheich	1
drbdddid	taciaaid	1
drbagfig	tachegdf	1
drcfcdhc	tacheich	1
drbbbihh	tachffdb	1
drbcgich	tachjfib	1
drhbgbi	tachjjec	1
drbcjdad	tacheich	1
drbcjdad	tachffdb	1
drcfehjf	tachechf	1
drcfdjfc	tachgeca	1
drceecib	tachgeji	1
gogada	tacijheh	1
gogada	taciihid	1
gogada	taciihic	1
gogada	tacijheg	1
drbdbcch	taciebhg	1
drcfefjb	tachfhhd	1
drcgjcbc	tacheich	1
cobbead	tacichbf	1
cobbead	tachechf	1
drcficjb	tachjfib	1
drcefhgd	tacheich	1
drbadiai	tachegdf	1
drbdaiha	tachegdf	1
drcgijjg	tachfcaa	1
drcffcdj	tacihhig	1
drcffcdj	tacheich	1
driiaec	tacidhag	1
drcfffgd	tacheich	1
